spread_id,page_ids,classification,confidence,signals,image
s0144_0145,p0144|p0145,uncertain,0.5247,gutter_edge_alignment|shared_color_palette,images/spreads/s0144_0145.jpg
s0146_0147,p0146|p0147,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0146_0147.jpg
s0148_0149,p0148|p0149,uncertain,0.5324,gutter_edge_alignment|shared_color_palette,images/spreads/s0148_0149.jpg
s0150_0151,p0150|p0151,uncertain,0.5287,gutter_edge_alignment|shared_color_palette,images/spreads/s0150_0151.jpg
s0152_0153,p0152|p0153,uncertain,0.4708,gutter_edge_alignment,images/spreads/s0152_0153.jpg
s0154_0155,p0154|p0155,uncertain,0.5279,gutter_edge_alignment|shared_color_palette,images/spreads/s0154_0155.jpg
s0156_0157,p0156|p0157,uncertain,0.5184,gutter_edge_alignment|shared_color_palette,images/spreads/s0156_0157.jpg
s0158_0159,p0158|p0159,uncertain,0.5287,gutter_edge_alignment|shared_color_palette,images/spreads/s0158_0159.jpg
s0160_0161,p0160|p0161,uncertain,0.5287,gutter_edge_alignment|shared_color_palette,images/spreads/s0160_0161.jpg
s0162_0163,p0162|p0163,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0162_0163.jpg
s0164_0165,p0164|p0165,uncertain,0.5164,gutter_edge_alignment|shared_color_palette,images/spreads/s0164_0165.jpg
s0166_0167,p0166|p0167,uncertain,0.5287,gutter_edge_alignment|shared_color_palette,images/spreads/s0166_0167.jpg
s0168_0169,p0168|p0169,uncertain,0.5287,gutter_edge_alignment|shared_color_palette,images/spreads/s0168_0169.jpg
s0170_0171,p0170|p0171,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0170_0171.jpg
s0172_0173,p0172|p0173,uncertain,0.4622,gutter_edge_alignment,images/spreads/s0172_0173.jpg
s0174_0175,p0174|p0175,uncertain,0.5279,gutter_edge_alignment|shared_color_palette,images/spreads/s0174_0175.jpg
s0176_0177,p0176|p0177,uncertain,0.5293,gutter_edge_alignment|shared_color_palette,images/spreads/s0176_0177.jpg
s0178_0179,p0178|p0179,uncertain,0.5291,gutter_edge_alignment|shared_color_palette,images/spreads/s0178_0179.jpg
s0180_0181,p0180|p0181,uncertain,0.5128,gutter_edge_alignment|shared_color_palette,images/spreads/s0180_0181.jpg
s0182_0183,p0182|p0183,uncertain,0.5218,gutter_edge_alignment|shared_color_palette,images/spreads/s0182_0183.jpg
s0184_0185,p0184|p0185,uncertain,0.3922,gutter_edge_alignment,images/spreads/s0184_0185.jpg
s0186_0187,p0186|p0187,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0186_0187.jpg
s0188_0189,p0188|p0189,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0188_0189.jpg
s0190_0191,p0190|p0191,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0190_0191.jpg
s0192_0193,p0192|p0193,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0192_0193.jpg
s0194_0195,p0194|p0195,uncertain,0.5321,gutter_edge_alignment|shared_color_palette,images/spreads/s0194_0195.jpg
s0196_0197,p0196|p0197,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0196_0197.jpg
s0198_0199,p0198|p0199,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0198_0199.jpg
s0200_0201,p0200|p0201,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0200_0201.jpg
s0202_0203,p0202|p0203,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0202_0203.jpg
s0204_0205,p0204|p0205,uncertain,0.4795,gutter_edge_alignment|shared_color_palette,images/spreads/s0204_0205.jpg
s0206_0207,p0206|p0207,uncertain,0.5283,gutter_edge_alignment|shared_color_palette,images/spreads/s0206_0207.jpg
s0208_0209,p0208|p0209,uncertain,0.5276,gutter_edge_alignment|shared_color_palette,images/spreads/s0208_0209.jpg
s0210_0211,p0210|p0211,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0210_0211.jpg
s0212_0213,p0212|p0213,uncertain,0.5279,gutter_edge_alignment|shared_color_palette,images/spreads/s0212_0213.jpg
s0214_0215,p0214|p0215,uncertain,0.53,gutter_edge_alignment|shared_color_palette,images/spreads/s0214_0215.jpg
s0216_0217,p0216|p0217,uncertain,0.536,gutter_edge_alignment|shared_color_palette,images/spreads/s0216_0217.jpg
s0218_0219,p0218|p0219,uncertain,0.4948,gutter_edge_alignment|shared_color_palette,images/spreads/s0218_0219.jpg
s0220_0221,p0220|p0221,uncertain,0.5154,gutter_edge_alignment|shared_color_palette,images/spreads/s0220_0221.jpg
s0222_0223,p0222|p0223,uncertain,0.4525,gutter_edge_alignment,images/spreads/s0222_0223.jpg
s0224_0225,p0224|p0225,uncertain,0.5281,gutter_edge_alignment|shared_color_palette,images/spreads/s0224_0225.jpg
s0226_0227,p0226|p0227,uncertain,0.5285,gutter_edge_alignment|shared_color_palette,images/spreads/s0226_0227.jpg
s0228_0229,p0228|p0229,uncertain,0.53,gutter_edge_alignment|shared_color_palette,images/spreads/s0228_0229.jpg
s0230_0231,p0230|p0231,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0230_0231.jpg
s0232_0233,p0232|p0233,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0232_0233.jpg
s0234_0235,p0234|p0235,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0234_0235.jpg
s0236_0237,p0236|p0237,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0236_0237.jpg
s0238_0239,p0238|p0239,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0238_0239.jpg
s0240_0241,p0240|p0241,uncertain,0.4657,gutter_edge_alignment,images/spreads/s0240_0241.jpg
s0242_0243,p0242|p0243,uncertain,0.5313,gutter_edge_alignment|shared_color_palette,images/spreads/s0242_0243.jpg
s0246_0247,p0246|p0247,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0246_0247.jpg
s0248_0249,p0248|p0249,uncertain,0.5335,gutter_edge_alignment|shared_color_palette,images/spreads/s0248_0249.jpg
s0250_0251,p0250|p0251,uncertain,0.5299,gutter_edge_alignment|shared_color_palette,images/spreads/s0250_0251.jpg
s0252_0253,p0252|p0253,uncertain,0.5298,gutter_edge_alignment|shared_color_palette,images/spreads/s0252_0253.jpg
s0254_0255,p0254|p0255,uncertain,0.53,gutter_edge_alignment|shared_color_palette,images/spreads/s0254_0255.jpg
