physical_page,source_pdf_page,char_count,reason
9,9,0,텍스트가 없거나 매우 적음
37,37,0,텍스트가 없거나 매우 적음
99,99,0,텍스트가 없거나 매우 적음
101,101,0,텍스트가 없거나 매우 적음
106,106,0,텍스트가 없거나 매우 적음
141,141,0,텍스트가 없거나 매우 적음
